campaign,cycle,candidate,order,base_commit,candidate_commit,mechanism,hypothesis,dispatch_domain,files,predicted_effect,rejection_observation,compile_result,oracle_result,public_op_baseline,public_op_candidate,program_boundary,program_baseline_ms,program_rep1_ms,program_rep1_delta_pct,program_rep2_ms,program_rep2_delta_pct,unaffected_seams,engine_sentinels,decision,reason,restoration_commit,raw_evidence
sm120a-rtx5090-muse-q4-dflash2,1,1,c1_01,dc688b12dfe8edf8c1ed50062f95b59fd648e262,363fdeb9f14acca8db484949b36710cfa9b06e25,"extend the existing Muse Q4 small-T MMA route through T=24 on sm120a","C4/k4 produces T=20 just above the sm120a admission boundary; replacing 472 generic R64/C32 launches should remove the dispatch cliff","sm120a; Muse registered Q4 N/K geometries; A16 T=17..24","src/ops/linear/q4/q4_dispatch.cpp; src/ops/linear/q4/q4_small_t_mma.cu","C4/8K improves >2%; C1-C3 C5-C8 and 129041/C1 stay neutral","oracle failure; any material unaffected regression; or either C4 repetition gains <2%",pass,"ginfer_linear_q4_a16_test pass; FP64 decoded-Q4 oracle covers all nine Muse shapes and seams T16/17/20/24/25","C4 Nsight: generic Q4 aggregate 50.586232 ms across 472 launches (81.6% kernel time)","C4 Nsight: Muse small-T Q4 aggregate 26.623434 ms across 472 launches (-47.37%); T20 public Linear cold medians N256/K6656 32.032 us N4096/K6656 40.192 us N19968/K6656 95.264 us N6656/K19968 150.528 us N6656/K33280 214.272 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C4",53.9314,38.6934,28.2544,38.7767,28.1000,"31-round matrix ms: C1 29.2555 C2 33.4534 C3 37.1345 C5 52.8359 C6 53.6397 C7 56.7938 C8 57.3739; 129041/C1 33.0420; max neutral regression +0.98% at C3 and +0.53% at C8","pass: focused real-artifact test plus 8K exact ORCHID=493817/COLOR=COBALT (2733.92 prefill; 124.43 decode) and 128K semantic retrieval (2123.50 prefill; 115.23 decode)",accept,"both repeated real Program gates exceed 2%; independent oracle/full matrix/real test/short+long Engine sentinels pass",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle1/{baseline,profile,candidate-01-op,candidate-01-matrix,candidate-01-c4-rep1.csv,candidate-01-c4-rep2.csv,engine-sentinels}"
sm120a-rtx5090-muse-q4-dflash2,2,1,c2_01,eecc31de4e53fe8f94310bde5c703d19c4b01392,012e0ebb565095431381147d6ddfbb55f89ec0ed,"instantiate the Muse small-T Q4 32-column tile and admit sm120a through T=32","after the T24 win C5/C6 map to T25/T30 and 472 generic R64/C32 launches still dominate the next cliff","sm120a; Muse registered Q4 N/K geometries; A16 T=25..32","src/ops/linear/q4/q4_dispatch.cpp; src/ops/linear/q4/q4_small_t_mma.cu","C5/C6 8K improve >2%; C1-C4 C7/C8 and 129041/C1 stay neutral","compile or register-pressure regression; oracle failure at T25/32; material unaffected regression; or either C5 repetition gains <2%",pass,"ginfer_linear_q4_a16_test pass; FP64 decoded-Q4 oracle covers all nine Muse shapes and seams T24/25/32/33","C5 Nsight: generic Q4 aggregate 51.302926 ms across 472 launches (82.4% kernel time)","C5 Nsight: Muse small-T Q4 aggregate 36.138636 ms across 472 launches (-29.56%)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C5",52.5701,45.6414,13.1799,45.8830,12.7203,"31-round matrix ms: C1 28.8280 C2 32.9807 C3 36.4683 C4 38.3307 C6 45.8376 C7 55.8375 C8 56.4226; 129041/C1 33.5482; max neutral regression +1.58% at long C1","pass: focused real-artifact test plus 8K exact retrieval (2721.28 prefill; 124.53 decode) and 128K semantic retrieval (2110.21 prefill; 112.90 decode)",accept,"both repeated C5 gates exceed 2%; C6 improves 13.12%; independent oracle/full matrix/real test/short+long Engine sentinels pass",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle2/{baseline,profile,candidate-01-matrix,candidate-01-c5-rep1.csv,candidate-01-c5-rep2.csv,engine-sentinels}"
sm120a-rtx5090-muse-q4-dflash2,3,1,c3_01,3c621f5fa932b9450e9bde386bcb2f5c297346ea,48d886642ad5e91a54972d2d3a008bc35e82182c,"add independent sm120a Muse C40/C48 Q4 schedules with BK128 for N19968/T40","C7/C8 use 472 generic R64/C48 launches and remain the dominant Q4 cliff after the T32 win","sm120a; Muse registered Q4 N/K geometries; A16 T=33..48","src/CMakeLists.txt; src/ops/linear/q4/q4_dispatch.cpp; src/ops/linear/q4/q4_launch.h; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","C7/C8 8K improve >2%; C1-C6 and 129041/C1 stay neutral","compile or FP64 oracle failure; material unaffected regression; or either C8 repetition gains <2%",pass,"ginfer_linear_q4_a16_test pass; FP64 decoded-Q4 oracle covers all nine Muse shapes and seams T32/33/40/41/48/49","C8 Nsight: generic R64/C48 Q4 aggregate 55.166005 ms across 472 launches (80.8% kernel time)","C8 Nsight: sm120a R32/C40 plus N19968 BK128 Q4 aggregate 33.905406 ms across 472 launches (-38.54%)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",57.5799,43.6266,24.2329,44.9921,21.8614,"31-round matrix ms: C1 28.8317 C2 32.8297 C3 36.6716 C4 38.9220 C5 45.6054 C6 46.3222 C7 46.1188; 129041/C1 33.0310; max neutral regression +1.37% at C5","pass: focused real-artifact test plus 8K exact retrieval (2725.94 prefill; 122.70 decode) and 128K semantic retrieval (2133.84 prefill; 113.79 decode)",accept,"both repeated C8 gates exceed 2%; C7 improves 19.04%; independent oracle/full matrix/real test/short+long Engine sentinels pass",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle3/{baseline,profile,candidate-01-matrix,candidate-01-c8-rep1.csv,candidate-01-c8-rep2.csv,engine-sentinels}"
sm120a-rtx5090-muse-q4-dflash2,4,1,c4_01,04be93fa83f63d182eefe0d9c284af4859547364,5b53af37dfa438a8ebfd024b7641628a8a267578,"admit the existing narrow W8 vocabulary-head MMA schedule on sm120a","after the Q4 C40/C48 win the generic W8 head is the largest remaining non-Q4 kernel and sm120a unnecessarily falls through the sm89-only admission","sm120a; Muse W8 vocabulary projection N202048/K6656; A16 T=17..48","src/ops/linear/w8/w8_dispatch.cpp","C4-C8 improve with repeated C8 >2%; C1-C3 and 129041/C1 stay neutral","decoded-W8 oracle failure; public-Op regression; material unaffected regression; or either C8 repetition gains <2%",pass,"ginfer_linear_w8_a16_test pass; independent decoded-W8 oracle covers N202048/K6656 and seams T1/8/16/33/40/41/48/49/128","C8 Nsight: generic R64/C128 W8 head aggregate 3.531371 ms across 2 launches (7.5% kernel time)","C8 Nsight: narrow R64x16/C48/BK128/A1 W8 head aggregate 2.672611 ms across 2 launches (-24.32%)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",43.8649,42.5764,2.9374,42.5421,3.0156,"31-round matrix ms: C1 28.9375 C2 32.9033 C3 36.9616 C4 38.1586 C5 44.2039 C6 45.6244 C7 45.6324 C8 42.5676; 129041/C1 33.0116; unaffected max regression +0.20% at C2","pass: focused real-artifact test plus W8 oracle and 8K exact retrieval (2844.63 prefill; 124.13 decode) and 128K semantic retrieval (2120.77 prefill; 114.28 decode)",accept,"both repeated C8 Program gates exceed 2%; the affected W8 head improves 24.32%; independent oracle/full matrix/real test/short+long Engine sentinels pass",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle4/{baseline,profile,candidate-01-matrix,candidate-01-c8-rep1.csv,candidate-01-c8-rep2.csv}; cycle1/engine-sentinels"
sm120a-rtx5090-muse-q4-dflash2,5,1,c5_01,70f650807880f78e6a45ba96b35557a0e4ed5411,6ad148104755a227ece469daa98794e23855c88e,"extend the sm120a Muse N19968 R64/C40/BK128 route through the T35 production point","C7/T35 leaves the dominant N19968 projection on the R32/C40 route although the retained T40 row-parallel schedule can serve the same C40 domain","sm120a; Muse Q4 N19968/K6656; A16 T=33..40","src/ops/linear/q4/q4_dispatch.cpp; src/ops/linear/q4/q4_launch.h; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu; tests/ops/linear/test_q4_a16.cpp","C7 improves >2%; C1-C6 C8 and 129041/C1 stay neutral","compile or decoded-Q4 oracle failure; N19968/T35 public-Op regression; material unaffected regression; or either C7 repetition gains <2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle now includes T35 across all nine Muse shapes and the T32/33/35/40/41 seams","C7 Nsight: R32/C40/BK128 N19968 projection aggregate 15.085949 ms across 114 launches; total Q4 36.579543 ms","C7 Nsight: R64/C40/BK128 N19968 projection aggregate 13.139960 ms across 114 launches (-12.90%); total Q4 34.601239 ms (-5.41%)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C7",45.1466,42.7744,5.2544,42.8076,5.1809,"31-round matrix ms: C1 28.9645 C2 33.0866 C3 36.5346 C4 38.1363 C5 43.9468 C6 45.4225 C8 42.5085; 129041/C1 33.0680; max unaffected regression +0.40% at C4","pass: focused real-artifact test plus 8K exact retrieval (2829.16 prefill; 125.62 decode) and 128K semantic retrieval (2121.95 prefill; 115.44 decode)",accept,"both repeated C7 Program gates exceed 2%; affected N19968 operator improves 12.90%; independent oracle/full matrix/real test/short+long Engine sentinels pass",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle5/{baseline,profile,candidate-01-matrix,candidate-01-c7-rep1.csv,candidate-01-c7-rep2.csv}; cycle1/engine-sentinels"
sm120a-rtx5090-muse-q4-dflash2,6,1,c6_01,d5b2263be88ca55af566b36eaf0ef7d4575d9826,a14de61dc7167c241467b15903b3554ef86dd694,"use R16/C40/BK128 tiles for registered Muse outputs N<=4096","the C8 profile assigns 10.038 ms to four small-output grid families and narrower row tiles were expected to expose more Blackwell CTA parallelism","sm120a; Muse Q4 N256/N1024/N1664/N4096; A16 T=33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","affected small-output aggregate improves about 20% and C7/C8 Program improves >2%","any decoded-Q4 oracle failure; affected output regression; or either repeated C8 Program gain <2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected Muse shapes and C40 seams","C8 Nsight affected grids: N<=4096 R32/C40 aggregate 10.037906 ms","C8 Nsight affected grids: R16/C40 aggregate 11.994075 ms (+19.49% regression)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.7907,42.7002,0.2115,not-run,not-run,"not-run: public-Op regression and first Program repetition below 2% rejected the candidate","not-run: rejected before Engine gate",reject,"Blackwell reverses the prior SM89 small-output result: affected Op aggregate regresses 19.49% and the first real Program gain is only 0.21%",571cac60e9401aca95c092cd1e92d3bf79c5e9ff,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle6/{baseline,profile,candidate-01-c8-rep1.csv,candidate-01-diagnosis.md}"
sm120a-rtx5090-muse-q4-dflash2,6,2,c6_02,25b50555d2d6136ae5d999a01f85662a29e583f0,eb11920c07c11a3c7535bf347f397af42103794b,"replace the N19968 R64/C40/BK128 schedule with R48/C40/BK128","a smaller shared tile and two-block launch bound might trade row-tail work for better Blackwell latency hiding on the largest remaining Q4 projection","sm120a; Muse Q4 N19968/K6656; A16 T=33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","affected N19968 aggregate improves enough for C7/C8 Program to exceed 2%","compile or decoded-Q4 oracle failure; affected Op regression; or either repeated C8 Program gain <2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers N19968 and C40 seams","C8 Nsight N19968 R64/C40/BK128 aggregate 12.843563 ms across 114 launches","C8 Nsight N19968 R48/C40/BK128 aggregate 14.722182 ms across 114 launches (+14.63% regression)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.7907,not-run,not-run,not-run,not-run,"not-run: public-Op gate rejected the candidate","not-run: rejected before Engine gate",reject,"affected N19968 operator regresses 14.63%; no real Program timing is needed",e2be25e57c6a7f3820f565b761e61e091b92100c,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle6/{baseline,profile,candidate-02-diagnosis.md}"
sm120a-rtx5090-muse-q4-dflash2,6,3,c6_03,4580c4083c3123f85697980993383ccc64f5d3be,8bb6de915b190246d1f682e2ff8f5dacd1919c7d,"increase the R32/C40/BK128 cp.async pipeline from two to three stages","a third input stage fits the static shared-memory limit and might hide high-K activation and quant fetch latency","sm120a; Muse Q4 registered outputs except N19968; A16 T=33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","affected Q4 aggregate improves at least 5% and C7/C8 Program exceeds 2%","compile/resource failure; decoded-Q4 oracle failure; insufficient affected aggregate gain; or either repeated C8 Program gain <2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected shapes and seams","C8 Nsight R32/C40/BK128 affected aggregate 20.758599 ms","C8 Nsight three-stage R32/C40/BK128 aggregate 20.414951 ms (-1.66%)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.7907,not-run,not-run,not-run,not-run,"not-run: maximum possible whole-round effect from the measured Op gain is below the 2% gate","not-run: rejected before Engine gate",reject,"the affected operator gains only 1.66% (0.344 ms), insufficient to produce a 2% whole-round improvement",1cf2984964547325ce0c1ec62a70369ba7207b95,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle6/{baseline,profile,candidate-03-diagnosis.md}"
sm120a-rtx5090-muse-q4-dflash2,6,4,c6_04,51e0acffc559513cc6505fecd31253f229d39838,a234ad6554f2467acbff3faeed8b772d9512ef3a,"use a five-warp R32/C40/BK128 CTA with WarpRows=32","halving warp count could reduce activation duplication and thread overhead while Blackwell absorbs the wider warp accumulator","sm120a; Muse Q4 registered outputs except N19968; A16 T=33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","affected Q4 aggregate improves at least 5% and C7/C8 Program exceeds 2%","compile/resource or decoded-Q4 oracle failure; affected Op regression/insufficient gain; or repeated Program gain below 2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected shapes and seams","C8 Nsight ten-warp R32/C40/BK128 affected aggregate 20.758599 ms","C8 Nsight five-warp R32/C40/BK128 affected aggregate 24.817106 ms (+19.55% regression)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.7907,not-run,not-run,not-run,not-run,"not-run: public-Op gate rejected the candidate","not-run: rejected before Engine gate",reject,"the wider per-warp accumulator and reduced warp parallelism regress the affected aggregate 19.55%",9445c026288d8d0cdb2afdd8c5f6e20e66dc25ca,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle6/{baseline,profile,candidate-04-diagnosis.md}"
sm120a-rtx5090-muse-q4-dflash2,6,5,c6_05,66b625dd1d5bca284d471b03a03e4604ac3a4a40,19d2f07a664b7c912d07ba8601631b79669790d3,"cache R32/C40 activation loads in L1","activation tiles are reused across row CTAs and Blackwell L1 might reduce repeated global input traffic while quant codes remain streaming","sm120a; Muse Q4 registered outputs except N19968; A16 T=33..40; activation loads only","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","affected Q4 aggregate improves at least 5% and C7/C8 Program exceeds 2%","compile/oracle failure; affected aggregate regression or insufficient gain; or repeated Program gain below 2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected shapes and seams","C8 Nsight cache-global activation affected aggregate 20.758599 ms","C8 Nsight cache-all activation affected aggregate 20.978868 ms (+1.06% regression)","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.7907,not-run,not-run,not-run,not-run,"not-run: public-Op gate rejected the candidate","not-run: rejected before Engine gate",reject,"L1 activation admission slightly regresses the affected aggregate by 1.06%",858267b2896bb3293cb3ce99a200b5a322ff1e20,"profiles/sm120a/rtx5090/muse-glimmer-q4/cycle6/{baseline,profile,candidate-05-diagnosis.md}"
