campaign,cycle,candidate,order,base_commit,candidate_commit,mechanism,hypothesis,dispatch_domain,files,predicted_effect,rejection_observation,compile_result,oracle_result,public_op_baseline,public_op_candidate,program_boundary,program_baseline_ms,program_rep1_ms,program_rep1_delta_pct,program_rep2_ms,program_rep2_delta_pct,unaffected_seams,engine_sentinels,decision,reason,restoration_commit,raw_evidence
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,1,1,c1_01,fb544c440404299168ab6361ae560d3cd23e94e9,62c6ead214f33dd5e684cc4f867e82c552d42829,"admit the existing R64/C32 Q4 MMA tile for Qwen DFlash matrices at T=17..32","the learned k4 proposal produces aggregate T=20/25/30 at C4/C5/C6, but the registered Q4 matrices fell through to the C128 tile and spent most warps on predicated columns","sm120a; Qwen DFlash Q4 N256/N1024/N1280/N4096/N17408 K5120 and N5120 K4096/K17408/K25600; A16 T=17..32","src/ops/linear/q4/q4_dispatch.cpp; tests/ops/linear/test_q4_a16.cpp","C4-C6 8K Program improves >2%; C1-C3 C7-C8 and 129041/C1 remain neutral","compile or decoded-Q4 oracle failure; affected public-Op regression; material unaffected regression; or either repeated C6 gain below 2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected shapes and T20/24/28/32 seams","cold public Linear T32 medians us: N256/K5120 118.080; N1024/K5120 118.784; N1280/K5120 119.104; N4096/K5120 120.096; N17408/K5120 136.480; N5120/K4096 97.536; N5120/K17408 396.576","cold public Linear T32 medians us: 46.400 (-60.70%); 48.416 (-59.24%); 48.416 (-59.35%); 50.496 (-57.95%); 103.712 (-24.01%); 44.320 (-54.56%); 167.072 (-57.87%)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C6",48.1811,44.4313,7.7820,44.3526,7.9454,"31-round matrix ms: C1 26.9332 C2 28.5436 C3 30.7147 C4 36.7251 C5 41.5633 C6 44.3526 C7 48.1503 C8 50.3014; 129041/C1 131.914; exact affected width accounting and no material unaffected regression","pass: registered real-artifact test; 999/1000 Engine 8059.24 prefill and 161.94 decode tok/s with identical 633/1464 acceptance; 8K and 130048-token sentinels both exact ORCHID=493817; COLOR=COBALT",accept,"both repeated affected C6 Program gates exceed 2%; independent oracle, affected Op matrix, full Program matrix, real artifact, matched Engine workload, and short/long semantic sentinels pass",not-applicable,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle1/{baseline,candidate01}"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,2,1,c2_01,b3e6a6c583f1a173445497ea26c366bd04e9b236,56c479d9b74a260bb55a01a021331e8677d1a89a,"admit the retained SM120a R32/C40 and small-output R16/C40 Q4 MMA schedules for Qwen DFlash T=33..40","after cycle 1 the learned k4 proposal produces aggregate T35/T40 at C7/C8, where every Q4 companion matrix still used the generic C128 tile","sm120a; Qwen DFlash Q4 N256/N1024/N1280/N4096/N17408 K5120 and N5120 K4096/K17408/K25600; A16 T=33..40","src/ops/linear/q4/q4_dispatch.cpp; src/ops/linear/q4/q4_launch.h; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu; tests/ops/linear/test_q4_a16.cpp","C7/C8 8K Program improves >2%; C1-C6 and 129041/C1 remain neutral","compile or decoded-Q4 oracle failure at T33/35/40/41; affected public-Op regression; material unaffected regression; or either repeated C8 gain below 2%",pass,"ginfer_linear_q4_a16_test pass; independent FP64 decoded-Q4 oracle covers all affected shapes and T32/33/35/40/41 seams","cold public Linear T40 medians us: N256/K5120 120.096; N1024/K5120 120.096; N1280/K5120 120.096; N4096/K5120 120.096; N17408/K5120 136.480; N5120/K4096 97.568; N5120/K17408 398.624","cold public Linear T40 medians us: 32.032 (-73.33%); 27.904 (-76.77%); 32.032 (-73.33%); 34.080 (-71.62%); 89.536 (-34.40%); 29.984 (-69.27%); 105.760 (-73.47%)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8",49.8769,45.4907,8.7941,45.1831,9.4108,"31-round matrix ms: C1 26.8207 C2 27.4346 C3 30.6508 C4 36.5316 C5 41.5656 C6 44.1039 C7 44.5585 C8 45.1831; 129041/C1 133.282; maximum unaffected change at long C1 stays below 2%","pass: registered real-artifact test; 999/1000 Engine 7973.47 prefill and 160.90 decode tok/s with identical acceptance; 8K and 130048-token sentinels both exact ORCHID=493817; COLOR=COBALT",accept,"both repeated affected C8 Program gates exceed 2%; independent oracle, affected Op matrix, full Program matrix, real artifact, matched Engine workload, and short/long semantic sentinels pass",not-applicable,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle2/{baseline,candidate01}"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,1,c3_01,0f9efb2b60001ad80062e74a5f14efbd9d4af0de,21196f0ca738ecda41e2846e60e109d7e511de37,"extend the Qwen-24/4 INT8 T6 Bc64 GQA route and DFlash graph frontier from 8198 through 9216 visible keys","the 8K C8 adaptive target graph used the 16390-key T6 envelope and its Bc32 long-window schedule despite actual windows remaining below 9K","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T6; visible 8199..9216; DFlash and MTP graph profiles","src/ops/kernel/gqa_attention_decode.cuh; src/ops/launcher/gqa_attention_decode.cu; src/targets/qwen3_6_27b/impl/variant.cpp; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5% by retaining Bc64 while unchanged geometry/dtype/token/window seams remain neutral","affected public-Op regression, oracle failure, or failure of both updated acceptance arms in either repeated real-boundary run",pass,"ginfer_gqa_attention_test pass against the independent FP64 attention and exact INT8-G64 codec oracle; append/cached, B2, 8208/8768/9216 and 9217 seam covered","cold public GQA append B8/T6 graph medians us at visible 8208/8448/8768/9216/9217: 202.016/204.064/208.192/210.208/212.736","cold public GQA append B8/T6 graph medians us: 214.304 (+6.08%)/218.368 (+7.01%)/220.416 (+5.87%)/224.544 (+6.82%)/216.320 (+1.68% noise at unchanged seam)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",not-run,not-run,not-run,not-run,not-run,"not-run after affected public-Op regression","not-run after affected public-Op regression",reject,"the proposed Bc64 extension regressed every affected public-Op point by 5.87% to 7.01%; the funnel stopped before production timing",728a22aa4334d90b155322b726ed1f2e6fc90cdf,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/{baseline,candidate01}"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,2,c3_02,169604b4ffc8deab26bc1fd8bb701dc5cce66ed7,25af37ca44fe76800c0f8922dc31ca6b9e564a0a,"use exact post-8K active-split capacity for Qwen-24/4 INT8 T6 and add a 9216-key DFlash/MTP graph frontier","the 8199..16390 replay interval retained the previous tier's 65-split cumulative launch bound while only 33..65 splits were active; the production 8K continuation needs at most 36","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T6; graph envelopes wholly above 8198; Qwen DFlash and MTP profiles","src/ops/launcher/gqa_attention_decode.cu; src/targets/qwen3_6_27b/impl/variant.cpp; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5% from fewer inactive producer CTAs, or qualifies through the updated +3.0 tok/s arm; unchanged 16390 envelope remains neutral","oracle failure; affected public-Op regression; material seam regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_gqa_attention_test pass against independent FP64 attention and exact INT8-G64 codec oracle; append/cached, B2, loose 8208..9216 interval, exact 9216, and 16390 seam covered","cold public GQA append B8/T6 graph medians us for production actual visible 8208/8448/8768 under baseline envelope max 16390: 201.984/203.808/210.208","candidate envelope max 9216 medians us: 185.632 (-8.0957%)/195.872 (-3.8939%)/198.016 (-5.8000%); unchanged 16390 seam 201.760 us","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",45.9701,46.3788,-0.8891,not-run,not-run,"16390-envelope public Op seam neutral; second Program repetition and full matrix not run after first gate failure","first real-boundary repetition published 2714.33 tok/s versus paired baseline 2738.88 with identical 3687 drafted/3657 accepted/248 expanded and per-position accounting; throughput arm also fails",reject,"first real-boundary repetition regressed GPU latency by 0.8891% and throughput by 24.55 tok/s, so it failed both non-averaged cycle-3 acceptance arms",a9839fe89cac17beab3edead8a681bfd541251f3,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/{baseline,candidate02}"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,3,c3_03,2e4ac9dace10f1b5d812e82136e8d48dbaa81b91,a492c0193274277169798b0c5df74e3b3872eb6f,"use the retained two-block-resident M128/N128 NVFP4 W4A4 tile for the Qwen gate-up matrix at T97..128","the C8 adaptive target aggregates 128 columns and the 56 gate-up launches used the one-block pipelined tile, accounting for 9.7% of profiled kernel time","sm120a; public Linear; NVFP4 AllowA4; N34816 K5120; T97..128 only","src/ops/linear/nvfp4/nvfp4_w4a4.cu; tests/ops/linear/test_nvfp4_a4.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; T129 and every other NVFP4 geometry remain neutral","oracle failure; affected public-Op regression; T129 seam regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_linear_nvfp4_a4_test passes its independent FP64 decoded-NVFP4 oracle at added T97/112/128/129 seams and the full registered matrix","cold public Linear medians us T97/112/127/128/129: 77.088/77.056/78.880/79.104/197.920","candidate medians us: 77.088 (0.0000%)/77.088 (+0.0415%)/77.088 (-2.2718%)/77.152 (-2.4676%)/197.920 (neutral seam)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",45.9701,47.1237,-2.5095,not-run,not-run,"T129 public Linear seam neutral; second Program repetition and full matrix not run after first gate failure","first real-boundary repetition published 2671.39 tok/s versus paired baseline 2738.88 with identical 3687 drafted/3657 accepted/248 expanded and per-position accounting; throughput arm also fails",reject,"first real-boundary repetition regressed GPU latency by 2.5095% and throughput by 67.49 tok/s, so it failed both non-averaged cycle-3 acceptance arms",ad4625e82c2d2c0355a1585af5798b805b098a90,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/{baseline,candidate03}"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,4,c3_04,ec4910f4ea1cc3cee861d27d6a13c8bc90cc58e3,a3547c1dba96ec10de8f9e1191a1cc0822b9d1ea,"use one exact 128-token FP8 A8 MMA tile instead of two 64-token tiles","the C8 adaptive target aggregates exactly 128 columns across the FP8 attention/GDN/MLP/residual shapes, which collectively occupied about 20% of profiled kernel time","sm120a; public Linear; FP8 AllowA8; N14336/16384/34816 K5120 and N5120 K6144/K17408; exact T128","src/ops/linear/fp8/fp8_a8.cu; tests/ops/linear/test_fp8_a8.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; T127/T129 and all non-128 extents remain neutral","oracle failure; any affected public-Op regression; T127/T129 seam regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_linear_fp8_a8_test passes its independent FP64 decoded-FP8 oracle at added T127/128/129 seams for every affected public shape","cold public Linear T128 medians us in affected-shape order N14336/N16384/N34816 K5120 then N5120 K6144/K17408: 79.008/81.248/154.880/58.400/142.656","candidate medians us: 81.184 (+2.7542% regression)/83.232 (+2.4419%)/158.624 (+2.4174%)/93.472 (+60.0548%)/245.024 (+71.7586%)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",not-run,not-run,not-run,not-run,not-run,"T127/T129 oracle seams pass; performance seams and production matrix not run after affected public-Op rejection","not-run after affected public-Op regression",reject,"the exact wider tile regressed all five affected public shapes, including 60.05% and 71.76% on the two residual projections; the funnel stopped before production timing",20ff5a1177afa0a609a46296624f53ad5ee503fd,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/candidate04"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,5,c3_05,3e83325b460c441f40e15d12abd9bc4f89b911fb,5f33c710bfcbc21843e5d5c51e00725c845cfd9b,"increase the Qwen-24/4 INT8 T6 long-window partial kernel from six to eight warps per CTA","the T6 GQA partial kernel was the largest remaining C8 hotspot at 11.2% of profiled kernel time, so additional consumer warps might shorten its key loop","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T6; implementation envelope above 8198","src/ops/launcher/gqa_attention_decode.cu; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; other geometries and T widths remain neutral","compile failure; oracle failure; affected public-Op regression; or either real-boundary repetition fails both updated acceptance arms",fail,"CUDA static assertion Wc % RowTiles == 0 failed: Qwen T6 has 36 logical rows and three 16-row tiles, so eight warps cannot partition consumer warps evenly",not-run,not-run,"Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",not-run,not-run,not-run,not-run,not-run,"not-run after compile rejection","not-run after compile rejection",reject,"the proposed launch is outside the kernel's valid schedule domain; compilation rejected every affected append/cached specialization before timing",5adb0a9c3214a67a281c60863105ceedc88937ec,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/candidate05"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,6,c3_06,f9d926436edf74e45c2bb2cccde071be0da6b432,3db3455f1eaff170d60fbe6a60602a12fe77f00c,"increase the Qwen-24/4 INT8 T6 long-window partial kernel from six to twelve warps per CTA","twelve warps satisfy the three-row-tile partition and could reduce the 11.2% T6 GQA hotspot while retaining Bc32","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T6; implementation envelope above 8198","src/ops/launcher/gqa_attention_decode.cu; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; other geometries and T widths remain neutral","compile or oracle failure; affected public-Op regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_gqa_attention_test passes independent FP64 attention and exact INT8-G64 codec oracle for added B2 append and loose-envelope append/cached long-window cases","cold public GQA append B8/T6 graph medians us at actual visible 8208/8448/8768 under envelope max 16390: 201.984/203.808/210.208","candidate medians us: 232.736 (+15.2250% regression)/236.576 (+16.0779%)/246.784 (+17.3999%)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",not-run,not-run,not-run,not-run,not-run,"not-run after affected public-Op regression","not-run after affected public-Op regression",reject,"all affected public GQA points regressed by 15.23% to 17.40%; the funnel stopped before production timing",11775ed5226798e4dec55b1704f58aff4c8fbcad,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/candidate06"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,7,c3_07,be814179d792116f0aad2e2f9e08a873488f22ec,51352f57f863b56d77f5ae8e317e26411bd5a4f9,"relax the Qwen-24/4 INT8 T6 long-window kernel launch bound from two resident blocks to one","the six-warp T6 kernel might trade unnecessary occupancy pressure for registers and shorten the 11.2% hotspot while retaining its exact tile","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T6; implementation envelope above 8198","src/ops/launcher/gqa_attention_decode.cu; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; other geometries and T widths remain neutral","compile or oracle failure; affected public-Op regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_gqa_attention_test passes independent FP64 attention and exact INT8-G64 codec oracle for added B2 append and loose-envelope append/cached long-window cases","cold public GQA append B8/T6 graph medians us at actual visible 8208/8448/8768 under envelope max 16390: 201.984/203.808/210.208","candidate medians us: 271.648 (+34.4899% regression)/276.544 (+35.6885%)/279.840 (+33.1253%)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",not-run,not-run,not-run,not-run,not-run,"not-run after affected public-Op regression","not-run after affected public-Op regression",reject,"relaxing the launch bound caused a 33.13% to 35.69% public-Op regression; the funnel stopped before production timing",c48bd496605cfdf7c52654028548bc1f0a57e007,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/candidate07"
sm120a-rtx5090-qwen38-nvfp4-dflash2-q4,3,8,c3_08,e1526e3bc13e8600d897469c8e4e57a046896c67,68b6bf17a286f4b817dd9bd767005e1848bc944f,"use exact post-8K active-split capacity for both Qwen-24/4 INT8 T4 and T6 and add a 9216-key graph frontier","both profiled post-8K small-T kernels launched the prior tier's 65-split capacity despite only 33..36 active splits, accounting for 15.3% of C8 kernel time together","sm120a; public GQA append/cached; Qwen d256-h24-kv4; INT8-G64; T4/T6; graph envelopes wholly above 8198; Qwen DFlash and MTP profiles","src/ops/launcher/gqa_attention_decode.cu; src/targets/qwen3_6_27b/impl/variant.cpp; tests/ops/test_gqa_attention.cpp","C8 8K Program improves at least 1.5%, or qualifies through the updated +3.0 tok/s arm; unchanged long-envelope seam remains neutral","oracle failure; material affected public-Op regression; or either real-boundary repetition fails both updated acceptance arms",pass,"ginfer_gqa_attention_test passes independent FP64 attention and exact INT8-G64 codec oracle for T4/T6 append/cached, B2, loose 8208..9216 envelopes, and the 16390 seam","cold public GQA append B8 graph medians us under baseline max16390: T4 visible 8208/8448/8768 145.088/150.752/154.912; T6 201.984/203.808/210.208","candidate max9216 medians us: T4 146.688/152.512/156.864 (1.1028%/1.1675%/1.2601% regressions); T6 185.632/196.032/198.944 (8.0957%/3.8154%/5.3585% improvements)","Qwen3.8 NVFP4+DFlash2 k4 stochastic Program round; INT8-G64; CUDA Graph option; 8192 tokens/request C8; cycle-3 gate: each of two reps >=1.5% GPU latency or qualified +3.0 tok/s throughput arm",45.9701,45.9507,0.0422,not-run,not-run,"T4 public route regressed consistently by 1.10% to 1.26%; second Program repetition and full matrix not run after first gate failure","first real-boundary repetition published 2739.98 tok/s versus paired baseline 2738.88 with identical 3687 drafted/3657 accepted/248 expanded and per-position accounting; +1.10 tok/s is below the +3.0 arm",reject,"the first non-averaged repetition improved GPU latency only 0.0422% and throughput only 1.10 tok/s, so it failed both updated acceptance arms",f42afcb22e56f4143b5878834f82d76f7b14e49a,"profiles/sm120a/rtx5090/qwen38-nvfp4-dflash2/cycle3/{baseline,candidate08}"
