campaign,cycle,candidate,order,base_commit,candidate_commit,component_ids,component_commits,component_mechanisms,interaction_class,dispatch_domains,files,optimistic_additive_ceiling,interaction_prediction,interaction_risks,package_hypothesis,predicted_effect,rejection_observation,compile_result,oracle_result,component_evidence,combined_public_baseline,combined_public_candidate,program_boundary,program_baseline_ms,program_rep1_ms,program_rep1_delta_pct,program_rep2_ms,program_rep2_delta_pct,unaffected_seams,engine_sentinels,decision,reason,restoration_commit,raw_evidence
sm120a-rtx5090-muse-q4-consolidation,1,1,cc1_01,d7b47c5ab9a5c24530324cd29e4ad59aa22a1fb9,3e4aabeebcd84ff3d3470263367cb08da93d4262,"original:c7_24; original:c7_08","44904d46f637e38a6e67cb6d2ca854520dbf1bb2; 35440ce711f23206ee5f4fba7fc8ef244b10bddf","R32/C40/BK128 W8 vocabulary head; N19968 Q4 fragment ping-pong","dispatch-disjoint sequential W8 and Q4 kernels","sm120a Muse W8 N202048/K6656/T17..40; sm120a Muse Q4 N19968/K6656/T33..40","src/ops/linear/w8/w8_dispatch.cpp; src/ops/linear/w8/w8_launch.h; src/ops/linear/w8/w8_rowsplit_gemm_mma.cu; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","1.0355-1.8787 ms; 2.4608-4.4645% of original 42.0805 ms C8","separate launches should preserve each component saving and add at the whole round","shared L2 state; power and clock behavior; run-order noise can make sequential savings non-additive","combine the fastest rejected W8 head with the strongest low-cache-risk N19968 Q4 pipeline improvement","both public Ops retain their local gains and both C8 Program repetitions are <=41.5515 ms from the conservative 42.3995 ms fresh baseline","first C8 Program repetition was 41.9791 ms, only 0.9915% faster; the lower real-boundary gate disproved the package",pass,"ginfer_linear_q4_a16_test; ginfer_linear_w8_a16_test; Muse load-plan/real; grouped dynamic-convolution; Muse GQA; DFlash2 selector all pass","Q4 N19968 160.576->91.424 us (-43.06%); W8 head 1434.912->1005.568 us (-29.92%)","cold public medians Q4 N19968 160.576 us; W8 head 1434.912 us","cold public medians Q4 N19968 91.424 us; W8 head 1005.568 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.3995,41.9791,0.9915,not-run,not-run,"not-run: first real Program repetition failed the repeated >=2% gate","not-run: rejected before Engine gate",reject,"the two strong cold public-Op gains do not add at the warm mixed Program boundary; the first combined repetition saves only 0.4204 ms",7ccd4d8936e4cfb322c14874889b1a97fe9a3939,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle1/{baseline,profile,candidate-01-diagnosis.md,candidate-01-op-q4-n19968-k6656-t40.csv,candidate-01-op-w8-n202048-k6656-t40.csv,candidate-01-c8-rep1.csv}"
sm120a-rtx5090-muse-q4-consolidation,1,2,cc1_02,9b4b2dec251af368493919a43e4d718bfc092532,a095b46a5acf23ecb5379d40aebfe3df779254fa,"original:c7_24; original:c7_06","44904d46f637e38a6e67cb6d2ca854520dbf1bb2; d24442673f0be1f96e9ffef144c73d7d0bdc5351","R32/C40/BK128 W8 vocabulary head; N19968 Q4 activation-L1 admission","dispatch-disjoint sequential W8 and Q4 kernels with cache-state coupling","sm120a Muse W8 N202048/K6656/T17..40; sm120a Muse Q4 N19968/K6656/T33..40 activation loads","src/ops/linear/w8/w8_dispatch.cpp; src/ops/linear/w8/w8_launch.h; src/ops/linear/w8/w8_rowsplit_gemm_mma.cu; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","1.1042-1.7401 ms; 2.6241-4.1352% of original 42.0805 ms C8","separate launches should preserve each saving but Q4 activation admission may change cache state seen by later work","L1 persistence; shared L2 state; power and clock behavior; run-order noise","pair the fastest rejected W8 head with the positive but sub-threshold N19968 activation-cache result","both public Ops retain their local gains and both C8 Program repetitions are <=41.5515 ms from the conservative 42.3995 ms fresh baseline","C8 repetitions improved 2.0609% and 1.6995%; the second missed the strict gate by 0.3005 percentage point",pass,"ginfer_linear_q4_a16_test and ginfer_linear_w8_a16_test pass","Q4 N19968 160.576->93.472 us (-41.79%); W8 head 1434.912->1004.832 us (-29.97%)","cold public medians Q4 N19968 160.576 us; W8 head 1434.912 us","cold public medians Q4 N19968 93.472 us; W8 head 1004.832 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.3995,41.5257,2.0609,41.6789,1.6995,"not-run: one of two repeated real Program gates failed","not-run: rejected before Engine gate",reject,"the package is positive but not repeatably >=2%; the second repetition saves only 0.7206 ms",d203323918d57a735769528fdf47cb6badabfd4e,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle1/{baseline,profile,candidate-02-diagnosis.md,candidate-02-op-q4-n19968-k6656-t40.csv,candidate-02-op-w8-n202048-k6656-t40.csv,candidate-02-c8-rep1.csv,candidate-02-c8-rep2.csv}"
sm120a-rtx5090-muse-q4-consolidation,1,3,cc1_03,fa726d9554bc8f644fdfffd481c0de1480d35033,06ac94ae65c3cefde84ddf2ce06cefa179ca636a,"original:c7_24; original:c7_11","44904d46f637e38a6e67cb6d2ca854520dbf1bb2; 9297fd47911c0138ef07b0ea1b996be12e495b87","R32/C40/BK128 W8 vocabulary head; selective R16/C40 Q4 for N1024 and N1664","dispatch-disjoint sequential W8 and small-output Q4 kernels","sm120a Muse W8 N202048/K6656/T17..40; sm120a Muse Q4 N1024/N1664 with K6656/T33..40","src/ops/linear/w8/w8_dispatch.cpp; src/ops/linear/w8/w8_launch.h; src/ops/linear/w8/w8_rowsplit_gemm_mma.cu; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","1.0234-1.4602 ms; 2.4310-3.4700% of original 42.0805 ms C8","separate launches and unchanged cache policy should make this the lowest-interference additive package","power and clock behavior; run-order noise; Q4 contribution is a profile ceiling rather than prior Program evidence","pair the fastest rejected W8 head with only the two small-output Q4 shapes that favored R16","all three public Ops retain local gains and both C8 Program repetitions are <=41.5515 ms from the conservative 42.3995 ms fresh baseline","first C8 Program repetition was 41.5808 ms, 1.9309% faster and 0.0293 ms above the strict gate",pass,"ginfer_linear_q4_a16_test and ginfer_linear_w8_a16_test pass","Q4 N1024 40.192->34.176 us (-14.97%); Q4 N1664 39.936->35.808 us (-10.34%); W8 head 1434.912->1004.864 us (-29.97%)","cold public medians Q4 N1024/N1664 40.192/39.936 us; W8 head 1434.912 us","cold public medians Q4 N1024/N1664 34.176/35.808 us; W8 head 1004.864 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.3995,41.5808,1.9309,not-run,not-run,"not-run: first real Program repetition failed the repeated >=2% gate","not-run: rejected before Engine gate",reject,"the lowest-interference package is positive but misses the strict first repetition by 0.0691 percentage point",d45f33b73be97338f6ee357ec0ca19c714bff40c,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle1/{baseline,profile,candidate-03-diagnosis.md,candidate-03-op-q4-n1024-k6656-t40.csv,candidate-03-op-q4-n1664-k6656-t40.csv,candidate-03-op-w8-n202048-k6656-t40.csv,candidate-03-c8-rep1.csv}"
sm120a-rtx5090-muse-q4-consolidation,1,4,cc1_04,1e9d8ff243bf3cb73a8bb32ad270e3ce63c92cba,8b2b051529b366a0bb44b3ef53a8300339bbe2f3,"original:c7_24; original:c6_03","44904d46f637e38a6e67cb6d2ca854520dbf1bb2; 8bb6de915b190246d1f682e2ff8f5dacd1919c7d","R32/C40/BK128 W8 vocabulary head; three-stage broad R32/C40 Q4 pipeline","dispatch-disjoint W8 and broad Q4 kernels; Q4 component overlaps retained scale-pair implementation","sm120a Muse W8 N202048/K6656/T17..40; sm120a Muse Q4 registered non-N19968 outputs/T33..40","src/ops/linear/w8/w8_dispatch.cpp; src/ops/linear/w8/w8_launch.h; src/ops/linear/w8/w8_rowsplit_gemm_mma.cu; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","1.1702-1.6070 ms; 2.7800-3.8190% of original 42.0805 ms C8","W8 and Q4 launches should add, but the Q4 ceiling must be re-established after retained scale-pair staging","stale pre-scale-staging Q4 evidence; broad shared-memory footprint; power and clock behavior; run-order noise","pair the fastest rejected W8 head with a deeper broad Q4 input pipeline on the current retained implementation","representative public Q4 and W8 retain gains and both C8 Program repetitions are <=41.5515 ms from the conservative 42.3995 ms fresh baseline","first C8 Program repetition was 41.9541 ms, only 1.0505% faster; the lower real-boundary gate disproved the package",pass,"ginfer_linear_q4_a16_test and ginfer_linear_w8_a16_test pass","representative Q4 N6656/K33280 259.328->249.120 us (-3.94%); W8 head 1434.912->1004.864 us (-29.97%)","cold public medians representative Q4 N6656/K33280 259.328 us; W8 head 1434.912 us","cold public medians representative Q4 N6656/K33280 249.120 us; W8 head 1004.864 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.3995,41.9541,1.0505,not-run,not-run,"not-run: first real Program repetition failed the repeated >=2% gate","not-run: rejected before Engine gate",reject,"the profile-derived Q4 ceiling and W8 saving do not add at the current warm Program boundary",f33da9330a1cf8f60ee538dc08003379eedd69e5,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle1/{baseline,profile,candidate-04-diagnosis.md,candidate-04-op-q4-n6656-k33280-t40.csv,candidate-04-op-w8-n202048-k6656-t40.csv,candidate-04-c8-rep1.csv}"
sm120a-rtx5090-muse-q4-consolidation,1,5,cc1_05,cd3f0ee6a19af0ca221a6fe1177036150eb45cf1,"a1d20707c9d5d8833fbd5b3e8e9cba36701f5677; 196873072461d218e0f2ba5cf4a7c7c0a7b2ebd0","original:c7_24; original:c7_06; original:c7_11","44904d46f637e38a6e67cb6d2ca854520dbf1bb2; d24442673f0be1f96e9ffef144c73d7d0bdc5351; 9297fd47911c0138ef07b0ea1b996be12e495b87","R32/C40/BK128 W8 vocabulary head; N19968 Q4 activation-L1 admission; selective R16/C40 Q4 for N1024/N1664","three dispatch-disjoint sequential domains with N19968 cache-state coupling","sm120a Muse W8 N202048/K6656/T17..40; sm120a Muse Q4 N19968/K6656/T33..40; sm120a Muse Q4 N1024/N1664/K6656/T33..40","src/ops/linear/w8/w8_dispatch.cpp; src/ops/linear/w8/w8_launch.h; src/ops/linear/w8/w8_rowsplit_gemm_mma.cu; src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","1.301-1.937 ms; 3.09-4.60% of original 42.0805 ms C8","the two selective small-output Q4 savings should supply the 0.029-0.127 ms missing from prior near-threshold W8+Q4 packages","N19968 L1 persistence; shared L2 state; power and clock behavior; run-order noise","combine the strongest W8 head with N19968 activation caching and only the two small Q4 outputs that favored R16","all four public Ops retain local gains and both C8 Program repetitions are <=41.5515 ms from the conservative 42.3995 ms fresh baseline","not-applicable: package satisfied every acceptance gate","pass: native sm120a build and sm86/sm89 cross-build targets complete","decoded-Q4 and decoded-W8 independent oracles; grouped dynamic-convolution; Muse GQA; DFlash2 selector; Muse load-plan and real-artifact tests pass","Q4 N19968 160.576->93.472 us; Q4 N1024 40.192->34.080 us; Q4 N1664 39.936->35.872 us; W8 head 1434.912->1004.864 us","cold public medians Q4 N19968/N1024/N1664 160.576/40.192/39.936 us; W8 head 1434.912 us","cold public medians Q4 N19968/N1024/N1664 93.472/34.080/35.872 us; W8 head 1004.864 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",42.3995,41.5275,2.0566,41.3232,2.5385,"pass: C1 28.9453; C2 33.0618; C3 37.0485; C4 37.8358; C5 43.6846; C6 45.2058; C7 42.0649; 129K C1 32.8685 ms; all neutral or faster","pass: 8K and 129041-token stochastic Engine retrieval exact; prompt/decode 2873.30/125.51 and 2124.54/114.76 tok/s; DFlash2 k4; INT8-G64",accept,"both independent real Program repetitions clear 2%, all correctness and matrix gates pass, and the accepted C40 W8 route is contained to sm120a",not-applicable,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle1/{baseline,profile,candidate-05-diagnosis.md,candidate-05-op-*.csv,candidate-05-c8-rep*.csv,candidate-05-matrix,candidate-05-engine-sentinels}"
sm120a-rtx5090-muse-q4-consolidation,2,1,cc2_01,6011c855f2dbbcf9df0c94c9fbcbbaa922b61f59,837f1ecaa2bc404de3c24c7c82b42ffabdebb49a,"retained:cc1_05; original:c7_04; original:c7_08","a1d20707c9d5d8833fbd5b3e8e9cba36701f5677; 4ec72bcc; 35440ce7","retained N19968 activation-L1 plus two-block compiler bound plus fragment ping-pong","same-kernel occupancy and latency interaction","sm120a Muse Q4 N19968/K6656/T33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","optimistic old real-round maxima 0.6040+0.6153=1.2193 ms; 3.00% of fresh 40.5895 ms C8","two-block register constraint may make ping-pong latency hiding effective while activation-L1 feeds two resident CTAs","register and issue-slot competition; original cold gains were unstable in warm Program; L1 state coupling","combine occupancy constraint and fragment overlap inside the retained activation-cached N19968 route","N19968 public gain projects above 0.8118 ms and both C8 repetitions are <=39.7777 ms","N19968 public Linear improved only 2.16%; its fresh-profile upper saving is about 0.277 ms, far below the 0.8118 ms whole-round gate",pass,"decoded-Q4 independent oracle passes","original c7_04 best real saving 0.6040 ms; original c7_08 best real saving 0.6153 ms; retained c7_06 activation-cache route","cold public median N19968 93.472 us","cold public median N19968 91.456 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",40.5895,not-run,not-run,not-run,not-run,"not-run: affected public domain cannot reach whole-round gate","not-run: rejected before Engine gate",reject,"overlapping mechanisms do not realize the optimistic sum; the measured public-domain ceiling is only 0.68% of the round",16b28090ae902396a034de612559a62e85d7a805,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle2/{baseline,profile,candidate-01-diagnosis.md,candidate-01-op-q4-n19968-k6656-t40.csv}"
sm120a-rtx5090-muse-q4-consolidation,2,2,cc2_02,60a8755808aaf403af23a174891a3c69a33d295a,ea1d29860075a6c80c9d61b60ae5b9b9e2017a90,"retained:cc1_05; original:c7_04; original:c6_03","a1d20707; 4ec72bcc; 8bb6de91","N19968 two-block compiler bound plus broad three-stage R32/C40 pipeline","dispatch-disjoint N19968 R64 and broad R32 Q4 schedules","sm120a Muse Q4 N19968/K6656/T33..40; non-N19968 R32/T33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","old measured ceilings 0.6040+0.3436=0.9476 ms; 2.33% of fresh C8","independent Q4 schedules should add while resource profiles can couple through clocks","compiler resource limits; power and clock behavior; run-order noise","combine N19968 occupancy with broad Q4 prefetch depth","combined public-domain ceiling exceeds 0.8118 ms and both C8 reps are <=39.7777 ms","N19968 was unchanged and broad representative improved 1.57%, projecting only 0.163 ms",pass,"decoded-Q4 independent oracle passes","original c7_04 best real saving 0.6040 ms; original c6_03 affected aggregate saving 0.3436 ms","cold public medians N19968 93.472 us; N6656/K33280 259.328 us","cold public medians N19968 93.472 us; N6656/K33280 255.264 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",40.5895,not-run,not-run,not-run,not-run,"not-run: affected public domain cannot reach whole-round gate","not-run: rejected before Engine gate",reject,"measured combined public-domain ceiling is about 0.40% of the round",0425f699b6449aa4e726de48cfc8ae97b557b42d,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle2/{candidate-02-diagnosis.md,candidate-02-op-q4-*.csv}"
sm120a-rtx5090-muse-q4-consolidation,2,3,cc2_03,469ab63373d92233e66b94e203a07a094fa87db8,3752599f2154c4affb4d472e76ee5dd8a92598a3,"retained:cc1_05; original:c7_08; original:c6_03","a1d20707; 35440ce7; 8bb6de91","N19968 fragment ping-pong plus broad three-stage R32/C40 pipeline","dispatch-disjoint N19968 R64 and broad R32 Q4 schedules","sm120a Muse Q4 N19968/K6656/T33..40; non-N19968 R32/T33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","old measured ceilings 0.6153+0.3436=0.9589 ms; 2.36% of fresh C8","independent latency-hiding schedules should add while resource profiles can couple through clocks","register/shared-memory pressure; power and clock behavior; run-order noise","combine N19968 fragment overlap with broad Q4 input prefetch depth","combined public-domain ceiling exceeds 0.8118 ms and both C8 reps are <=39.7777 ms","N19968 was unchanged and broad representative improved 1.69%, projecting only 0.175 ms",pass,"decoded-Q4 independent oracle passes","original c7_08 best real saving 0.6153 ms; original c6_03 affected aggregate saving 0.3436 ms","cold public medians N19968 93.472 us; N6656/K33280 259.328 us","cold public medians N19968 93.472 us; N6656/K33280 254.944 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",40.5895,not-run,not-run,not-run,not-run,"not-run: affected public domain cannot reach whole-round gate","not-run: rejected before Engine gate",reject,"measured combined public-domain ceiling is about 0.43% of the round",4c0f8b3e24a481f4a8e998a8edc0def38547a41e,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle2/{candidate-03-diagnosis.md,candidate-03-op-q4-*.csv}"
sm120a-rtx5090-muse-q4-consolidation,2,4,cc2_04,095c8f996818b26a5c2639b4957f79e4f2fb44d8,4e6267f942a22eb3f51878218036b1d502ff866d,"retained:cc1_05/c7_06; original:c7_01","d2444267; 5a06d16f","activation-L1 admission plus twenty-warp N19968 geometry","same-kernel memory-feed and warp-parallelism interaction","sm120a Muse Q4 N19968/K6656/T33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","old c7_01 public gain projects 3.405 ms over fresh N19968 profile; 8.39% of C8","activation-L1 may feed doubled warp population better than original streaming activation","twenty warps previously regressed real rounds; register and issue pressure","combine retained activation caching with old twenty-warp geometry","N19968 public gain projects above 0.8118 ms and both C8 reps are <=39.7777 ms","N19968 remained exactly 93.472 us, leaving no affected-domain saving",pass,"decoded-Q4 independent oracle passes","c7_01 old public 160.576->118.048 us but real rounds regressed; c7_06 retained cache route","cold public median N19968 93.472 us","cold public median N19968 93.472 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",40.5895,not-run,not-run,not-run,not-run,"not-run: affected public route is neutral","not-run: rejected before Engine gate",reject,"activation caching does not unlock a twenty-warp gain on the retained route",6d54183cddd2dbb6fa6cf9ae17f5d3ebcf382b9f,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle2/{candidate-04-diagnosis.md,candidate-04-op-q4-n19968-k6656-t40.csv}"
sm120a-rtx5090-muse-q4-consolidation,2,5,cc2_05,f02a27221765ffbc86b6abc490a16f1b4688c7cd,3a64a69d1effe522299574d6bcee42b47c3c6cac,"retained:cc1_05/c7_06; original:c7_01; original:c7_08","d2444267; 5a06d16f; 35440ce7","activation-L1 plus twenty warps plus fragment ping-pong","same-kernel memory-feed warp-parallelism and dependency interaction","sm120a Muse Q4 N19968/K6656/T33..40","src/ops/linear/q4/q4_rowsplit_gemm_mma_sm120a.cu","old c7_01 public projection 3.405 ms plus c7_08 best real 0.615 ms before overlap","more warps may consume independent ping-pong fragments while activation L1 feeds them","register and issue pressure can compound; old twenty-warps harmed Program","combine retained cache with warp and fragment overlap","N19968 public gain projects above 0.8118 ms and both C8 reps are <=39.7777 ms","N19968 remained exactly 93.472 us, showing no synergy",pass,"decoded-Q4 independent oracle passes","c7_01 old public gain 26.49%; c7_08 best old real saving 0.6153 ms; c7_06 retained","cold public median N19968 93.472 us","cold public median N19968 93.472 us","Muse DFlash2 k4 INT8-G64 uncaptured Program round; 8192 tokens/request C8",40.5895,not-run,not-run,not-run,not-run,"not-run: affected public route is neutral","not-run: rejected before Engine gate",reject,"ping-pong and twenty warps do not improve the retained activation-cached route",af86c2afcf61772ff94a7908f47bf33e0895c011,"profiles/sm120a/rtx5090/muse-glimmer-q4-consolidation/cycle2/{candidate-05-diagnosis.md,candidate-05-op-q4-n19968-k6656-t40.csv}"
