cycle_candidate,commit,changed_mechanism,predicted_effect,oracle_result,public_op_result,real_boundary_result,decision,restoration_commit
4.1,1f970a64caaedb47e303d8e3a9b48af1bc99d45f,"use four K warps instead of eight for the CC86-only Muse small-T MMA schedule","more resident CTAs reduce scheduler no-eligible cycles and improve C1/T5 without changing other architectures or generic fallback","pass: independent FP64 Q4 Linear oracle","reject: screened shapes aggregate +7.94% and +7.50%; T9..16 regress materially despite some T5..8 wins","not run: public screening disproved the hypothesis","reject","459e4756cb26d1c84e3f214180a64f3de86ea0b1"
4.2,352b64a29b3faa8dc4c0c2a675de2729e58c2217,"use 16 output rows per CTA instead of 32 for the CC86-only Muse small-T MMA schedule","more launch waves reduce tail and dependency stalls while retaining eight K warps","pass: independent FP64 Q4 Linear oracle","reject: screened shapes aggregate +20.34% and +13.57%; broad material regressions dominate limited T5..8 wins","not run: public screening disproved the hypothesis","reject","1ca698a98dc9cef5cb90b5f183f8c620096dcffe"
4.3,49d1326a0a2e168c74e237a2df1e0b99ca552c03,"use four K warps only for CC86 Muse K6656 T5..8","retain the early-T signal while avoiding the broader four-warp regressions","pass: independent FP64 Q4 Linear oracle","reject: five of six affected shapes regress materially, roughly +39% to +151% on smaller outputs and +4.8% on N19968","not run: public screening disproved the hypothesis","reject","c931fd97b6e62660be378919d102ebe5f0424377"
4.4,a31d9f24963cd0ce5a903ebc2e59c895e926749d,"use 64 output rows per CTA for the CC86-only Muse small-T MMA schedule","increase activation reuse while retaining two resident CTAs","pass: independent FP64 Q4 Linear oracle","reject: all screened regions regress; +16.49% large output, +43.39% deep K, +124.31% small output","not run: public screening disproved the hypothesis","reject","2b1a5beca6806e0cc304595a4eb5b38128686666"
4.5,7897b160de4a8640da120384469ea62dc58dce5d,"compile the Muse T5 active-column count into the small-T MMA kernel","remove runtime loop and store decisions at the C1 boundary","not run: pre-build scope audit found the specialization also changed SM89 and SM120a instantiations","not run","not run","reject: violates SM86-only candidate scope","32814216cf224bf599928241c7bc0d33b643e43d"
4.6,db7b9f95e8d2333d7cba3b6236220b6b231ea13e,"compile the Muse T5 active-column count only for CC86","remove runtime loop and store decisions at C1/T5 without changing other SM images or fallback","pass: independent FP64 Q4 Linear oracle","pass seams; T5 aggregate -1.54% with 7/9 point wins, T4 -0.03% and T6 +0.10% controls","C1 52.1133->51.8286 ms (-0.55%), below the 2% acceptance floor","reject","62e4ae3a691a935262dca804d5dde1612903a5a8"
4.7,65d2d20cf7214b53cbc35e1d53aed83fcf396549,"raise the CC86 Muse small-T launch bound from four to five CTAs for all tiles","make compiler residency match the five-block resource limit and reduce scheduler starvation","pass: independent FP64 Q4 Linear oracle","reject: large-output and K19968 shapes improve about 8-9%, but smaller outputs regress 8-26% aggregate at T9..16","not run: full public sweep disproved the unbounded form","reject","f48cea90bc1d37e38aacbda84b8df0877e314887"
4.8,577777386b94880c9886bcc82b521f264f36e4e1,"apply the five-CTA bound only to CC86 Muse T5..8","retain candidate 7 early-tile signal while preserving T9..16","pass: independent FP64 Q4 Linear oracle","reject: ordered sweep was noisy; decision ABBA T5 pairs were only -0.61% N19968/K6656, -1.40% K19968, and neutral K33280/K6656","not run: paired public gains cannot produce a 2% Program win","reject","1490f09f82432a70ca7f9b5026eba8c0456ef2b6"
4.9,5c1d3d4a01bd054893034e969e601b3887348e71,"raise the CC86 Muse small-T launch bound to six CTAs for all tiles","force full warp occupancy with a lower register ceiling","pass: independent FP64 Q4 Linear oracle","reject: early tiles improve but T9..16 regress 12-46%, producing +20.45% and +8.37% screened aggregates","not run: public screening disproved the unbounded form","reject","cf06ebe7e029ca72814ec47fd75c6b1447e2d76c"
4.10,ab34aa9d3a16d526defb3099fb79a71a3fac7fed,"apply a six-CTA compiler launch bound only to CC86 Muse T5..8","raise occupancy at the C1 boundary while preserving T9+ and non-CC86 routes","pass: independent FP64 Q4 Linear oracle and seams","pass: 26 wins, 10 ties, zero regressions across 36 affected ABBA points, aggregate -3.42%; T4/T9 controls +0.02%","C1 52.0204->50.9466 ms and 52.0646->51.0171 ms; C4/C8 neutral; both Engine sentinels and registered real test pass","accept",""
