cycle_candidate,commit,changed_mechanism,predicted_effect,oracle_result,public_op_result,real_boundary_result,decision,restoration_commit
10.1,9f41e7b7aecb789a0394bef8c29f314f9d232cb1,"use BK64 with a two-CTA launch bound only for the CC86 Muse R64C40 Q4 route","trade an extra K-loop synchronization for half the shared footprint and a second resident CTA","pass: independent FP64 Q4 Linear oracle","reject: all five affected T40 shapes regress +13.33% to +14.47% in symmetric paired measurements","not run: public screening disproved the tile","reject","83be31af423d62786cc5ac76fa1b5291269c9762"
10.2,2a96fe1e14f4423530d326f125854ba84ea743dd,"use BK64 with a three-CTA launch bound only for the CC86 Muse R32C40 Q4 route","halve shared footprint and raise residency on the four small-output T40 shapes","pass: independent FP64 Q4 Linear oracle","reject: all four affected T40 shapes regress +18.27% to +24.05% in symmetric paired measurements","not run: public screening disproved the tile","reject","fd776446170c1fb238d19840d1d684da684540fd"
10.3,66b5bc85029dd68436ce1f3beb9c85ed4f613074,"use a third async stage only for the CC86 Muse R32C40 Q4 route","hide weight and activation latency without changing the tile or route","pass: independent FP64 Q4 Linear oracle","below threshold: N256/N1024/N1664 improve about 1.25%, N4096 is neutral, and affected aggregate improves only 0.88%","not run: affected share cannot produce either Program gate arm","reject","354a890660da0d897aa0d69eea1315c4e33427b3"
10.4,3e5e59f5f181d72eabf718f5fb994a3506f820af,"route exact T40 through retained R32C48/BK64 only for the four CC86 Muse small-output shapes","test whether its wider warp grid offsets eight dead columns without compiling a new kernel","pass: independent FP64 Q4 Linear oracle","reject: all four affected shapes regress roughly +22.8% to +36.5% in symmetric paired measurements","not run: public screening disproved the route","reject","dea39ff13bd378bfa692d7dcc1070832bbe574e3"
10.5,7833940daa92fa08473e03dd8b0708d881264ddd,"use a 32-row warp tile only for the CC86 Muse R32C40 Q4 route","halve CTA threads and duplicate activation-fragment loads while preserving block geometry","pass: independent FP64 Q4 Linear oracle","reject: all four affected shapes regress +6.73% to +15.2% in symmetric paired measurements","not run: public screening disproved the warp tile","reject","0631cb72d824d26aabd5fe793e5060381f77f683"
10.6,fc22a9af2dd27afaed503d863f274d6e076a5f24,"use a 64-row warp tile only for the CC86 Muse R64C40 Q4 route","halve CTA threads and duplicate activation-fragment loads on the dominant route","pass: independent FP64 Q4 Linear oracle","reject: all five affected shapes regress +18.0% to +20.8% in symmetric paired measurements","not run: public screening disproved the warp tile","reject","3c3cf3a280f56012fce27c6d1806cf2ad72b9a38"
10.7,8aad3c19ccdc07f17aa148ac1f09105e94b3de69,"use an R128C40/BK64 tile only for the five dominant CC86 Muse T40 shapes","double activation reuse while exploiting exact divisibility of N6656 and N19968","pass: independent FP64 Q4 Linear oracle","reject: all five affected shapes regress +26.7% to +29.4% in symmetric paired measurements","not run: public screening disproved the tile","reject","059a51d3e9234e892965199aade6a5ffb619376c"
10.8,e34c814ca8f36a7671e117f845a66b4f45fa7de7,"cap host launch capacity for Ampere86 Muse INT8 T5 only when the execution envelope is at most 8198 keys","reduce split CTAs at the 8K boundary using the retained T6 one-wave policy","pass: Muse-specific and general registered GQA correctness tests","no standalone GQA benchmark; public-contract tests pass","reject: fixed 131K Program graph envelope bypasses the host condition; C8 98.373->98.474 ms and 343.633->343.281 tok/s with exact accounting","reject","e8db074626727d1a897f8e2c9e27ca21d07b775f"
10.9,9efd8a70255e17695ab8dc260d8679c0b8ad7949,"carry the Ampere86 Muse T5 8K split cap into device active-split selection under the fixed 131K graph envelope","reduce active partial/reduction splits from 128 toward the retained one-wave ceiling while preserving graph capacity","pass: Muse-specific and general registered GQA correctness tests","no standalone GQA benchmark; public-contract tests pass","reject: C8 99.6557->99.7087 ms and 339.211->339.031 tok/s with identical accounting","reject","16066400a7e219793212d43c18961fe023654a91"
10.10,5a04f73db023c9c2ad6264d15c12a8059ee96ed4,"decode both packed Q4 nibbles together with half2 arithmetic only in the CC86 Muse R32C40 and R64C40 schedules","halve scalar scale multiplies and conversion setup while retaining the exact Ampere routes","pass: independent FP64 Q4 Linear oracle","reject: symmetric paired T40 screen regresses N1024/N1664 by 1.19-1.27%, improves N4096 by 1.93%, and leaves the other six shapes neutral","not run: pointwise public regressions and mixed aggregate cannot qualify either Program gate arm","reject","5a735ee146619e749e076304f284f21c5dbc8d53"
10.11,1c0c389cffdefa6f62478a758af0c2ba9fa117cc,"use an R48C40/BK128 tile for every CC86 Muse large-output T40 route","raise active warps and reduce the short-grid tail while retaining two resident CTAs","pass: independent FP64 Q4 Linear oracle","reject: N6656 output shapes improve 4.27-5.71%, but N19968 regresses 31.99% in symmetric paired measurements","not run: the public pointwise regression requires narrowing before Program evaluation","reject","dd6632468fc0460ad7cbc6ff99aaf822a0200015"
10.12,618bfbb93bf0d1d33be41e6d39cf1e662ff17623,"use the R48C40/BK128 tile only for exact CC86 Muse N6656 T40 routes","retain the four 4.27-5.71% public wins while preserving the regressing N19968 route","pass: independent FP64 Q4 Linear oracle","pass: four affected T40 shapes improve 4.27-5.71%; other T40 points and T39/T41 seams are neutral in paired reruns observed at stable 1695 MHz","reject: C8 pair1 98.4147->97.8884 ms and 343.490->345.335 tok/s; pair2 98.5976->97.9071 ms and 342.852->345.270 tok/s; identical accounting but neither repeat reaches a hybrid arm","reject","62efdb71cef9f1f1f4d713e8aa11c0eb02eb20ab"
10.13,5b23d12800852d56832d765915dc97a23e841275,"use an R48C40/BK128 tile with an independently full column boundary only for exact CC86 Muse N6656 T40 routes","raise active warps and eliminate dead column checks without changing generic route instantiations or CC89","pass: independent FP64 Q4 Linear oracle","pass: four affected points improve 5.79-6.67% and 6.00% aggregate; 158 unchanged T32-T49 points aggregate +0.01%","accept: C8 pair1 98.4297->97.5748 ms and 343.435->346.445 tok/s; pair2 98.4527->97.5644 ms and 343.354->346.479 tok/s; C1/C4 neutral; exact accounting; real test and both Engine sentinels pass","accept",""
